	juridisch/adj	verblijf_status/noun	regel/noun	alleen/adj	algemeen/adj	biljet/noun	stem/noun	dit/det	rechtbank/noun	nog/adv	onbeperkt/adj	toelating/noun	vergunning/noun	adres/noun	werk_vergunning/noun	altijd/adv	aanbieding/noun	reservatie/noun	frank/noun	identiteitsbewijs/noun	handtekening/noun	document/noun	aanbesteding/noun	die/det	licentie/noun	reis_pas/noun	vonnis/noun	eind_uitslag/noun	exploitatie_vergunning/noun	typering/noun	argument/noun	slechts/adv	euro/noun	en/vg	door/adj	verzoek/noun	ticket/noun	huur_contract/noun	uitslag/noun	boord_document/noun	kaart/noun	gezien/adj	ze/pron	voorwaarde/noun	niet/adv	wijze/noun	rijbewijs/noun	abonnement/noun	wet/noun	arbeid_vergunning/noun	tarief/noun	bon/noun	strip_kaart/noun	jaar/noun	betaal_middel/noun	enkel/adj	universeel/adj	advies/noun	trein_kaart_DIM/noun	wagen/noun	wil_beschikking/noun	stem_biljet/noun	reden/noun	lid_kaart/noun	treffer/noun	papier/noun	excuus/noun	paspoort/noun	onverminderd/adj	vervoer_bewijs/noun	poging/noun	besluit/noun	kandidatuur/noun	verzekering/noun	alternatief/noun	bouw_aanvraag/noun	gewoon/adj	verblijfsvergunning/noun	huwelijk/noun	ten/adv	verklaring/noun	bekentenis/noun	principe/noun	accoord/noun	arrangement/noun	status/noun	offerte/noun	referendum/noun	alibi/noun	conventie/noun	dagvaarding/noun	enquête/noun	lang/adj	visum/noun	uitkomst/noun	rede/noun	Habibie/name	goedkeuring/noun	bod/noun	diploma/noun	gemeente/noun	wereldwijd/adj	doelpunt/noun	overeenkomst/noun	toestemming/noun	patent/noun	goal/noun
onbeperkt/adj	0.79890025	0.8553597	0.81474596	0.72146034	0.82474613	0.78436697	0.8847506	0.84139764	0.8893833	0.85464716	0.0	0.77859265	0.7940935	0.82311314	0.8273283	0.8344523	0.8145128	0.8613143	0.8034339	0.8138414	0.8518498	0.8011564	0.82736677	0.7625459	0.7883369	0.84628046	0.8751214	0.92877364	0.8846541	0.8722892	0.82641536	0.7879139	0.8150565	0.7009201	0.80861396	0.83829606	0.79938245	0.8476442	0.9221422	0.9072085	0.83754873	0.8358743	0.789233	0.7412056	0.84620595	0.83056986	0.816296	0.6977313	0.78029996	0.8307564	0.72496873	0.800711	0.836721	0.8669556	0.7973095	0.70541614	0.7762041	0.8436658	0.81401455	0.8650786	0.90466905	0.8853429	0.87315565	0.8638141	0.9316227	0.81681824	0.84751165	0.7771432	0.8042296	0.8348135	0.8894628	0.85192806	0.88373744	0.7397126	0.81402767	0.91599685	0.7766582	0.78794307	0.8703246	0.79837734	0.8534049	0.8733778	0.7198361	0.8368478	0.8211508	0.80618596	0.8394496	0.8288468	0.83523697	0.84771633	0.87791556	0.86732626	0.8436283	0.7822209	0.8682552	0.81089973	0.867121	0.8299345	0.8771877	0.8489089	0.7810759	0.74972016	0.93095237	0.82769763	0.80926263	0.80021554	0.9244524
toelating/noun	0.72362065	0.7596718	0.7501707	0.81176805	0.8186738	0.8736703	0.89651275	0.85021335	0.82108957	0.8865024	0.77859265	0.0	0.5628286	0.8762412	0.7089729	0.8848385	0.8225764	0.9075259	0.9131927	0.7943311	0.7817658	0.78508675	0.75920355	0.7969383	0.72250134	0.83442295	0.78967273	0.8927537	0.7688148	0.9228215	0.79713213	0.82768315	0.913431	0.7774145	0.8673633	0.66848665	0.8669839	0.7881892	0.87570465	0.911137	0.9034044	0.8335543	0.8473338	0.6811428	0.86671525	0.8338791	0.8023194	0.8326007	0.7306902	0.77198195	0.8242982	0.84897816	0.9212533	0.89400834	0.8522185	0.74376315	0.8451713	0.72092533	0.9056408	0.8816867	0.87453187	0.88156325	0.8404834	0.8629589	0.9188087	0.8117613	0.8243669	0.7423722	0.8408138	0.8831547	0.8831264	0.71836376	0.76841795	0.7884085	0.8410649	0.7461387	0.8920475	0.6594627	0.8348437	0.8167661	0.81162256	0.84915	0.7612633	0.72935045	0.87977594	0.76071817	0.7865589	0.7729483	0.84221387	0.8055256	0.84366524	0.8534327	0.88810337	0.68700206	0.8311994	0.8049779	0.878265	0.6197033	0.83326656	0.7804647	0.7072216	0.8307751	0.9254262	0.75661826	0.52308655	0.78724056	0.9176687
vergunning/noun	0.7336904	0.7110697	0.6872908	0.82245797	0.86704516	0.7851134	0.9229593	0.87122357	0.7893932	0.8918104	0.7940935	0.5628286	0.0	0.831251	0.5869279	0.92015266	0.835824	0.8946789	0.85896766	0.73369884	0.76079327	0.7273747	0.6962162	0.78768677	0.5011677	0.698074	0.76473886	0.9180696	0.5143709	0.928168	0.83553064	0.84248984	0.8635187	0.8200532	0.902727	0.7362025	0.773367	0.6850714	0.8822775	0.85839516	0.8190536	0.8922578	0.8590815	0.6398997	0.8619053	0.86104053	0.67130965	0.7383249	0.6722405	0.65293324	0.76367503	0.811646	0.8699636	0.8871561	0.860729	0.75642914	0.88247764	0.7093667	0.83958626	0.86880946	0.87088424	0.81073236	0.8648852	0.8178944	0.91365373	0.76715326	0.8859082	0.65829337	0.87140065	0.8073542	0.92523617	0.7144	0.8250636	0.7284689	0.8544925	0.6212208	0.903485	0.5518348	0.87942576	0.82611144	0.8376729	0.88432217	0.7810484	0.7486217	0.8860037	0.7841546	0.76849115	0.7992872	0.85961926	0.8202198	0.78330815	0.893294	0.90586245	0.5740029	0.8650738	0.83233947	0.9023415	0.68011475	0.8110981	0.7932597	0.6149838	0.8509951	0.9177791	0.7353198	0.6566843	0.73442745	0.91613466
adres/noun	0.86541075	0.87863445	0.8933707	0.8099621	0.90350044	0.74908173	0.9012424	0.9119645	0.9152538	0.88402355	0.82311314	0.8762412	0.831251	0.0	0.8546675	0.85695577	0.7710005	0.8031066	0.8584334	0.76384294	0.7680492	0.62264955	0.8591839	0.8054997	0.84518784	0.81607795	0.8994641	0.918923	0.88986856	0.8871996	0.860296	0.8721541	0.8746767	0.81031877	0.9008115	0.7933651	0.7610639	0.8246676	0.87877285	0.8471051	0.7423916	0.8960326	0.7885377	0.8633194	0.8677024	0.860888	0.8550141	0.7594955	0.9019598	0.8744582	0.8213767	0.74030876	0.8635794	0.92613876	0.8678572	0.7760681	0.8935437	0.8090467	0.8397519	0.8613574	0.9056437	0.7913051	0.8849422	0.8591131	0.9485616	0.74726963	0.8499028	0.71942705	0.91631174	0.85047495	0.9180593	0.9087855	0.8601612	0.8256785	0.8582555	0.87077796	0.8384571	0.81919956	0.9132629	0.88099635	0.81183213	0.83421826	0.87129384	0.9088281	0.81395197	0.8707589	0.7617766	0.9073462	0.85766995	0.9060679	0.78198266	0.83469176	0.92870337	0.7826757	0.8832618	0.85771245	0.9313889	0.8934724	0.90093625	0.85548156	0.8138435	0.85538536	0.9612736	0.85494125	0.8336407	0.87167585	0.9503806
werk_vergunning/noun	0.81431663	0.65223366	0.839246	0.86913	0.8827928	0.86018497	0.9321838	0.9003628	0.8674798	0.89365506	0.8273283	0.7089729	0.5869279	0.8546675	0.0	0.90969706	0.8326954	0.9046294	0.91826427	0.72004294	0.8094144	0.7771485	0.83591	0.8574505	0.6701459	0.6931419	0.8979663	0.9168851	0.73540795	0.9260057	0.8999784	0.8477298	0.91198087	0.872967	0.9192638	0.77533066	0.82169366	0.80437005	0.90867007	0.8666825	0.86781025	0.9171839	0.8637614	0.7829415	0.8823835	0.9015037	0.67785466	0.8090592	0.81715816	0.5424981	0.8731393	0.8472688	0.8948044	0.892458	0.8849545	0.8361105	0.91984594	0.8211606	0.86189413	0.92280746	0.8956939	0.8412359	0.8830651	0.86364126	0.92049485	0.7708181	0.8705137	0.5713974	0.89162534	0.8193845	0.92233074	0.86870944	0.86992157	0.7895613	0.91425955	0.8252084	0.91052604	0.46416557	0.85724956	0.85670525	0.85278904	0.8828794	0.8492714	0.82584167	0.9119869	0.78676623	0.841012	0.8525022	0.8183656	0.9034441	0.8522216	0.91923684	0.90789056	0.49719793	0.900197	0.8785219	0.91341513	0.791631	0.8775455	0.7793682	0.81703377	0.9022399	0.9214181	0.85344946	0.7709189	0.83290565	0.9110678
altijd/adv	0.8532822	0.92277956	0.8401973	0.6770441	0.87325686	0.87453675	0.81265205	0.8295983	0.9465032	0.6427903	0.8344523	0.8848385	0.92015266	0.85695577	0.90969706	0.0	0.8227202	0.90217525	0.9741238	0.9194279	0.87390155	0.8736685	0.9175562	0.6805488	0.9023894	0.9299012	0.8834105	0.8862345	0.93587726	0.77734864	0.8083033	0.8393802	0.9679017	0.7003231	0.74571025	0.8971513	0.9137641	0.9324999	0.86834544	0.916428	0.91223097	0.7899138	0.5739977	0.8862311	0.6330106	0.7603774	0.93255097	0.89363617	0.8746776	0.9258593	0.90616566	0.87735564	0.9240649	0.9254477	0.90450186	0.74381185	0.7403739	0.8834784	0.91094065	0.90689796	0.91024864	0.87181115	0.84906214	0.9279453	0.9089116	0.8390148	0.81910145	0.8863145	0.79384077	0.8926328	0.8697898	0.8849059	0.86884964	0.89968336	0.82177484	0.92456824	0.6307305	0.8905399	0.8689304	0.8438644	0.8485704	0.85432434	0.7762413	0.9185668	0.8058716	0.82572126	0.87826693	0.895011	0.8118232	0.84535587	0.91172254	0.9126332	0.7737422	0.88239354	0.833449	0.7772839	0.87145555	0.9114088	0.9008798	0.86924064	0.923276	0.8924776	0.9178796	0.91200423	0.9319909	0.87707925	0.8851892
aanbieding/noun	0.8753168	0.8922392	0.88427746	0.8046297	0.8885503	0.7927779	0.8872924	0.8591326	0.91956246	0.8372305	0.8145128	0.8225764	0.835824	0.7710005	0.8326954	0.8227202	0.0	0.86943233	0.8607328	0.8776456	0.8412086	0.821079	0.8600282	0.82091445	0.77939594	0.8929699	0.8818602	0.9146198	0.8970564	0.88865644	0.8426003	0.84964156	0.8677813	0.768	0.8286524	0.77180386	0.783545	0.8558798	0.895025	0.90997225	0.818949	0.86697	0.80943096	0.8449193	0.8600766	0.82828903	0.89055675	0.7125366	0.890395	0.8790326	0.75692093	0.7771747	0.86029977	0.8945981	0.8620078	0.80029017	0.88366544	0.8179609	0.8472286	0.920513	0.935447	0.84478736	0.85561395	0.8634527	0.91421586	0.82073927	0.87689036	0.8244418	0.8648344	0.86256313	0.9130316	0.88077646	0.8636366	0.78670174	0.79357326	0.88073355	0.79087365	0.8477652	0.89945126	0.8741611	0.89064586	0.8824406	0.8682457	0.86801755	0.77126324	0.85591996	0.7250813	0.8905725	0.8840306	0.88142353	0.85682875	0.8650199	0.9002572	0.8398192	0.85316414	0.8479092	0.92280716	0.86825466	0.7455312	0.83015424	0.8519666	0.832153	0.91961735	0.8143523	0.84762007	0.8385523	0.8908415
reservatie/noun	0.9281032	0.9602164	0.9420069	0.89088327	0.93416137	0.891107	0.9579352	0.93533295	0.9725462	0.94086325	0.8613143	0.9075259	0.8946789	0.8031066	0.9046294	0.90217525	0.86943233	0.0	0.77404106	0.9192876	0.9007027	0.88896394	0.9160282	0.9132451	0.8923019	0.84319925	0.9480398	0.95419896	0.93733335	0.9542397	0.9517869	0.9052999	0.82435125	0.87719756	0.8989933	0.8945486	0.67102367	0.91274893	0.9261471	0.9219352	0.7847	0.91870743	0.9087158	0.91921985	0.9139485	0.9638458	0.9196351	0.7235158	0.9365829	0.9301791	0.89617175	0.88509697	0.8862479	0.9424715	0.92092973	0.8454318	0.916157	0.90701354	0.8682505	0.9365591	0.955206	0.93151814	0.9429369	0.8581419	0.9816756	0.9219317	0.9418142	0.90225464	0.95318747	0.85948014	0.98042685	0.93827456	0.9235909	0.85659516	0.93186593	0.93834925	0.9102316	0.9182338	0.92423666	0.92508256	0.9706835	0.9664653	0.9037848	0.927883	0.8328654	0.92702156	0.902522	0.9116385	0.9227615	0.9427667	0.93889046	0.92989385	0.9391271	0.8670723	0.9435969	0.9173811	0.9451214	0.91474634	0.9159773	0.90817267	0.8976357	0.9145628	0.9778517	0.9221352	0.92453897	0.9492256	0.973527
frank/noun	0.93013597	0.9395934	0.9514721	0.89722455	0.91736096	0.74297225	0.9501142	0.89016426	0.8835226	0.91951483	0.8034339	0.9131927	0.85896766	0.8584334	0.91826427	0.9741238	0.8607328	0.77404106	0.0	0.8919793	0.8561749	0.87860626	0.8396752	0.8879528	0.8063002	0.87423986	0.93018305	0.93366355	0.93010473	0.97323704	0.94256514	0.7673563	0.15513462	0.86598074	0.9248561	0.894257	0.64793813	0.8769581	0.958746	0.9045014	0.7714479	0.938044	0.90875715	0.84349215	0.9555782	0.94789594	0.8886027	0.66697764	0.94721967	0.92993003	0.7604896	0.7764696	0.8393297	0.8033151	0.8574848	0.81147385	0.9528064	0.9315227	0.77999914	0.8989074	0.9649352	0.9028318	0.9633347	0.80362034	0.95067066	0.8725871	0.9329712	0.8719289	0.93914884	0.87140375	0.96352285	0.9497255	0.9459053	0.73848057	0.92282563	0.9280833	0.89100486	0.8998241	0.9568247	0.83332056	0.9561471	0.9446729	0.9057363	0.91244054	0.8575034	0.93514425	0.8333038	0.9401346	0.9226308	0.9545885	0.90521103	0.93680483	0.95342374	0.8900611	0.9579613	0.9484784	0.9605223	0.89501953	0.84563744	0.8961368	0.73702836	0.83695877	0.9478653	0.921312	0.92108124	0.9257602	0.95032185
identiteitsbewijs/noun	0.86043435	0.8034264	0.854527	0.8355668	0.908737	0.7344367	0.91561884	0.9315682	0.88385093	0.92932564	0.8138414	0.7943311	0.73369884	0.76384294	0.72004294	0.9194279	0.8776456	0.9192876	0.8919793	0.0	0.75173527	0.67646575	0.88213784	0.86466306	0.7914194	0.70094085	0.9072145	0.9457183	0.8409043	0.9160852	0.8672554	0.8794335	0.8866626	0.83091944	0.93402386	0.8344513	0.83643985	0.84639686	0.9295264	0.757858	0.81932694	0.91023594	0.8241745	0.8561652	0.87977827	0.8869846	0.6837523	0.8419773	0.8213153	0.7285739	0.8897688	0.82030106	0.8241318	0.9385245	0.83389366	0.8053238	0.88328016	0.8686642	0.85020375	0.8557929	0.86216605	0.7700212	0.8876752	0.79681545	0.95286834	0.7303721	0.89992857	0.5296587	0.8842131	0.7792372	0.9022863	0.9009002	0.90295976	0.8283317	0.90406644	0.8992065	0.8848067	0.72245485	0.8952486	0.8746366	0.83923745	0.8635141	0.8558452	0.8739772	0.910662	0.8654041	0.87093735	0.8705405	0.83887845	0.8885637	0.83474255	0.8826089	0.9513324	0.6704105	0.9343004	0.8659928	0.923897	0.8671562	0.91222376	0.7798785	0.8592263	0.88628435	0.9539915	0.86357486	0.8191011	0.86135465	0.95942456
handtekening/noun	0.8426668	0.88053215	0.87282646	0.8629478	0.9086707	0.71594125	0.82499224	0.8907361	0.8934352	0.8817873	0.8518498	0.7817658	0.76079327	0.7680492	0.8094144	0.87390155	0.8412086	0.9007027	0.8561749	0.75173527	0.0	0.65213203	0.85664284	0.82881093	0.78833026	0.8012947	0.8739418	0.9126792	0.8503356	0.8991144	0.84660715	0.8620532	0.8650754	0.8359794	0.89759266	0.76197064	0.80918473	0.8198968	0.8916075	0.85761964	0.78034204	0.9069811	0.7951791	0.8368353	0.9001955	0.8916722	0.78618366	0.8317339	0.8363856	0.8564542	0.8876373	0.74822795	0.84066063	0.920328	0.8699854	0.81627107	0.8843446	0.82331425	0.81681514	0.90730286	0.8215196	0.73839533	0.9142177	0.8205377	0.9148414	0.698899	0.8456156	0.693427	0.9030396	0.85186565	0.91192925	0.8360322	0.7934691	0.8479247	0.88701516	0.8243201	0.88655466	0.78393996	0.87543917	0.8852952	0.8104951	0.86304575	0.86242163	0.8048874	0.880818	0.8530897	0.813537	0.762542	0.86916894	0.853938	0.80923015	0.8687928	0.9125708	0.7479596	0.8967228	0.8628938	0.86748576	0.72590923	0.87453234	0.80758154	0.80382055	0.86217624	0.9130876	0.82169044	0.7858939	0.85247046	0.9117323
document/noun	0.748685	0.865662	0.78546125	0.8010409	0.8562339	0.6654647	0.88316613	0.83665836	0.8086501	0.8591491	0.8011564	0.78508675	0.7273747	0.62264955	0.7771485	0.8736685	0.821079	0.88896394	0.87860626	0.67646575	0.65213203	0.0	0.7964436	0.7669298	0.76520693	0.72832716	0.7506432	0.9144079	0.85229814	0.8629475	0.77951777	0.8383122	0.89386714	0.7722744	0.869564	0.6740255	0.8089024	0.78451586	0.8536484	0.76217556	0.75807416	0.8497889	0.77748823	0.7942411	0.8622744	0.7782044	0.7600999	0.80182445	0.788504	0.79862237	0.85161656	0.76051545	0.8370891	0.9302886	0.8386158	0.74427766	0.8154809	0.72884864	0.8451104	0.8462484	0.8088891	0.6913537	0.8619424	0.80667233	0.9244309	0.5527067	0.8355087	0.5636524	0.8755306	0.81687146	0.8635006	0.7692007	0.819979	0.79762375	0.84510225	0.8178882	0.88761705	0.74293196	0.8832127	0.80756664	0.6226417	0.723593	0.8182304	0.78365195	0.82840294	0.8143966	0.7349788	0.85956126	0.78791493	0.79219943	0.6974021	0.75259995	0.91485405	0.6807425	0.79730606	0.8171196	0.86422324	0.77655786	0.8658652	0.79649156	0.79807115	0.8355518	0.93813586	0.7398082	0.7442341	0.7672477	0.93225276
aanbesteding/noun	0.73488265	0.8640063	0.72818583	0.8249739	0.8292807	0.86321115	0.9133251	0.8050236	0.85410196	0.86489815	0.82736677	0.75920355	0.6962162	0.8591839	0.83591	0.9175562	0.8600282	0.9160282	0.8396752	0.88213784	0.85664284	0.7964436	0.0	0.7894248	0.75360185	0.8362571	0.80673766	0.8978881	0.826585	0.92341524	0.8503679	0.84991693	0.84541327	0.8275999	0.9051943	0.81818414	0.8573789	0.8115617	0.8829319	0.9370481	0.9018831	0.87051415	0.87954617	0.72880435	0.86719376	0.8330725	0.88639736	0.800836	0.7530987	0.8758766	0.7522821	0.8620756	0.8758384	0.87475646	0.8631225	0.7847408	0.8690127	0.7555624	0.8680197	0.9153788	0.8872112	0.84703535	0.8841851	0.8953236	0.92203796	0.8686865	0.90412074	0.8573525	0.87538606	0.84299964	0.86829805	0.7302693	0.8042432	0.76719725	0.83387226	0.7027949	0.90949535	0.82479125	0.8567954	0.8373899	0.8640336	0.8740648	0.7825579	0.7508713	0.8701409	0.8753309	0.6530619	0.7389684	0.88778853	0.8302681	0.8211671	0.8068635	0.89970547	0.81420684	0.83385706	0.8614259	0.87800586	0.72230065	0.79552174	0.8806522	0.65188646	0.85492766	0.92158324	0.73972714	0.80918455	0.81401384	0.9227188
die/det	0.6879169	0.8825542	0.7341691	0.6547468	0.7022322	0.77715963	0.8265648	0.7458544	0.85581386	0.77415335	0.7625459	0.7969383	0.78768677	0.8054997	0.8574505	0.6805488	0.82091445	0.9132451	0.8879528	0.86466306	0.82881093	0.7669298	0.7894248	0.0	0.8088266	0.8988233	0.7833053	0.8402969	0.86710405	0.7842426	0.7404704	0.73982126	0.8814817	0.7086248	0.80073524	0.8193299	0.8654788	0.8273603	0.810169	0.894511	0.8542954	0.7655989	0.6427799	0.7671138	0.6641546	0.7428966	0.86113125	0.8207706	0.7345524	0.88752306	0.7712854	0.8136092	0.8539957	0.87264013	0.8594305	0.67989093	0.6605837	0.8180548	0.86780804	0.8788353	0.8628924	0.7996713	0.84986836	0.89287394	0.83915573	0.76514846	0.79841155	0.8259098	0.7796507	0.87401164	0.8368783	0.78159165	0.81379414	0.8070808	0.83859205	0.83819306	0.69293857	0.8201442	0.81894976	0.7113699	0.79642254	0.81356984	0.69974136	0.8082625	0.78332573	0.77229476	0.7957174	0.7965976	0.7886704	0.7352201	0.80475783	0.8301391	0.79023457	0.8402206	0.74751747	0.74897426	0.8133443	0.81981504	0.8501121	0.82776374	0.7757429	0.76646805	0.85703266	0.7883478	0.8686291	0.7662966	0.8307982
licentie/noun	0.78510094	0.77963847	0.83481777	0.82276833	0.8543224	0.7876537	0.8780991	0.867646	0.8469957	0.8696009	0.7883369	0.72250134	0.5011677	0.84518784	0.6701459	0.9023894	0.77939594	0.8923019	0.8063002	0.7914194	0.78833026	0.76520693	0.75360185	0.8088266	0.0	0.7822883	0.8489533	0.90853846	0.7090652	0.9289491	0.8694201	0.8208405	0.78688604	0.84437937	0.89051425	0.78868383	0.6854434	0.8005059	0.8744944	0.8805523	0.7906148	0.8833945	0.85606635	0.7184329	0.86892676	0.8723748	0.705517	0.6985836	0.82201624	0.67510223	0.7992206	0.83079773	0.851503	0.8552097	0.84605896	0.7794738	0.8720542	0.79294634	0.79835117	0.9010474	0.9117858	0.8421925	0.8941667	0.82579225	0.8995448	0.8103762	0.8889855	0.69035137	0.8903601	0.81771106	0.9338724	0.81479573	0.74951196	0.7394917	0.854043	0.79442734	0.8977838	0.63955075	0.8934675	0.86511517	0.8705358	0.8731031	0.81372356	0.76743555	0.8935928	0.7779669	0.7813122	0.8383913	0.8699647	0.87018484	0.81778824	0.8980876	0.9249045	0.6497378	0.8830531	0.8481382	0.8835949	0.7453527	0.7473463	0.68962467	0.75066817	0.7758949	0.89939713	0.76384985	0.76000583	0.68881214	0.895735
reis_pas/noun	0.8631496	0.8335928	0.8770552	0.87490803	0.9319971	0.8007384	0.94190794	0.91218305	0.91457886	0.9025062	0.84628046	0.83442295	0.698074	0.81607795	0.6931419	0.9299012	0.8929699	0.84319925	0.87423986	0.70094085	0.8012947	0.72832716	0.8362571	0.8988233	0.7822883	0.0	0.9337984	0.9390252	0.7946613	0.95766103	0.9166124	0.8978974	0.8838179	0.90325356	0.9451876	0.8631017	0.7904016	0.84491503	0.9401118	0.8125027	0.8275944	0.92574024	0.8894113	0.8679146	0.8937256	0.9394676	0.7022075	0.77512175	0.88603455	0.73130476	0.8678004	0.86589473	0.8166276	0.895991	0.8834522	0.8315612	0.9273939	0.847005	0.814594	0.8852446	0.90363795	0.84373486	0.89402145	0.8176367	0.9687974	0.7900438	0.92746097	0.5909814	0.9283717	0.7813153	0.94126153	0.9119371	0.93889815	0.78541535	0.91476053	0.8185946	0.91561484	0.6869967	0.9176113	0.8969942	0.9105501	0.9268459	0.8773652	0.8864586	0.9195971	0.89140946	0.8502337	0.88116556	0.87424684	0.91342074	0.8728727	0.91726065	0.92332494	0.6122416	0.9288265	0.9109642	0.9411262	0.86692286	0.92522067	0.8231467	0.8450326	0.91943336	0.9616244	0.8873152	0.88013947	0.89014894	0.9572914
vonnis/noun	0.67913157	0.8761206	0.7390191	0.8441732	0.8341549	0.8888073	0.8979312	0.79346496	0.47594857	0.8758617	0.8751214	0.78967273	0.76473886	0.8994641	0.8979663	0.8834105	0.8818602	0.9480398	0.93018305	0.9072145	0.8739418	0.7506432	0.80673766	0.7833053	0.8489533	0.9337984	0.0	0.82800794	0.8649506	0.8702226	0.69444394	0.88102293	0.9354033	0.8809406	0.91287714	0.6331935	0.94652396	0.80392814	0.72325623	0.9288553	0.90911853	0.8807748	0.8272382	0.7884882	0.82021856	0.7966287	0.87275124	0.91965795	0.64476603	0.87122476	0.8438382	0.8753618	0.92885053	0.872113	0.9282725	0.7696788	0.8398142	0.7152001	0.93739045	0.95924157	0.851009	0.85388935	0.84502757	0.9263302	0.864185	0.90484464	0.7927409	0.86560833	0.8746064	0.9159172	0.8152778	0.49212247	0.74205446	0.8820098	0.90140367	0.77416146	0.9208814	0.8341508	0.81865054	0.76172644	0.6938744	0.70755553	0.7878865	0.6958225	0.9070714	0.8489392	0.87383854	0.7664387	0.8611789	0.7600459	0.66224945	0.81932676	0.9284897	0.8651396	0.68522036	0.74857354	0.81897974	0.7527315	0.7877751	0.9045349	0.8303029	0.8988212	0.8787197	0.73254323	0.80856943	0.8299482	0.8876076
eind_uitslag/noun	0.9107699	0.90895545	0.9005024	0.868833	0.8807707	0.91758925	0.81918675	0.8504243	0.91432744	0.8619067	0.92877364	0.8927537	0.9180696	0.918923	0.9168851	0.8862345	0.9146198	0.95419896	0.93366355	0.9457183	0.9126792	0.9144079	0.8978881	0.8402969	0.90853846	0.9390252	0.82800794	0.0	0.92006683	0.8946344	0.8954084	0.84871805	0.92591494	0.9314418	0.95860445	0.916658	0.9020002	0.9060556	0.5954546	0.946248	0.9015913	0.89761174	0.8933767	0.9001658	0.8419101	0.903229	0.9134495	0.9183076	0.8738731	0.93038636	0.90144485	0.92712355	0.9356075	0.897628	0.90212023	0.86753285	0.91712934	0.896033	0.9246838	0.95532286	0.9039594	0.8569196	0.91609573	0.9480289	0.8383456	0.92814195	0.88753223	0.9225759	0.9296266	0.9109517	0.9274169	0.81680727	0.8365145	0.93005717	0.9336746	0.90191025	0.91190743	0.9003072	0.9382763	0.8895002	0.88842803	0.88051975	0.8941203	0.86501706	0.9232278	0.882662	0.9001092	0.8420946	0.9363457	0.89363265	0.89519316	0.9045216	0.9115863	0.9329854	0.7786713	0.895926	0.8745684	0.885067	0.8805102	0.9013853	0.93427503	0.91517884	0.8413149	0.87342	0.93884856	0.9118342	0.8529829
exploitatie_vergunning/noun	0.83806	0.82410556	0.82127446	0.8786706	0.9076185	0.8854003	0.9414955	0.90874314	0.8784166	0.9081119	0.8846541	0.7688148	0.5143709	0.88986856	0.73540795	0.93587726	0.8970564	0.93733335	0.93010473	0.8409043	0.8503356	0.85229814	0.826585	0.86710405	0.7090652	0.7946613	0.8649506	0.92006683	0.0	0.9517007	0.88231593	0.89293265	0.935549	0.91703516	0.94412917	0.84224355	0.8823618	0.7676118	0.9313582	0.90551823	0.8952285	0.93575543	0.9207471	0.74286634	0.8949279	0.935657	0.76824653	0.84260476	0.82629246	0.7091224	0.86459976	0.88756	0.9020714	0.9060234	0.9009883	0.83655465	0.9260458	0.79869556	0.8993405	0.93935484	0.903062	0.8748902	0.91438764	0.8639746	0.95300627	0.88827395	0.91068333	0.7997918	0.9317059	0.87252676	0.9445957	0.8315719	0.87208366	0.83466357	0.9004026	0.68890214	0.96177936	0.70377	0.92832756	0.90517837	0.8965438	0.91334254	0.87255913	0.7893131	0.92547417	0.8783545	0.82210374	0.85643804	0.8955577	0.8814309	0.84342927	0.93684006	0.9501922	0.7178747	0.9143433	0.9140674	0.9254575	0.7869113	0.85187364	0.8882194	0.7410046	0.92832774	0.9480233	0.7918334	0.8128497	0.80914235	0.93713427
typering/noun	0.8876068	0.94791085	0.8645665	0.8112027	0.87586534	0.9124166	0.8436712	0.8289284	0.92835736	0.88948727	0.8722892	0.9228215	0.928168	0.8871996	0.9260057	0.77734864	0.88865644	0.9542397	0.97323704	0.9160852	0.8991144	0.8629475	0.92341524	0.7842426	0.9289491	0.95766103	0.8702226	0.8946344	0.9517007	0.0	0.81485105	0.89540607	0.9670899	0.77818626	0.8425647	0.89401877	0.94829255	0.9163944	0.8935845	0.94615006	0.92384326	0.85500425	0.8277906	0.9035929	0.8408737	0.7711045	0.9573852	0.9300573	0.89271086	0.96385145	0.8945409	0.8885559	0.9398463	0.94037384	0.89238095	0.84034216	0.80505794	0.88306624	0.9371469	0.94176626	0.93266106	0.8775107	0.8979343	0.96732694	0.9196403	0.877451	0.86376417	0.9239898	0.8883436	0.93156606	0.8900178	0.8811905	0.8923887	0.9146409	0.86614186	0.9392349	0.86981815	0.9234995	0.9160419	0.8852821	0.81369954	0.8750604	0.853655	0.9345765	0.8241911	0.8772341	0.90264696	0.91579306	0.8672855	0.86696917	0.8991447	0.90483487	0.9126415	0.91668445	0.88663864	0.83847034	0.90892863	0.92514116	0.9222334	0.9190302	0.9435655	0.9003418	0.92765033	0.90298426	0.93089575	0.87061095	0.91962457
