	blik_DIM/noun	Albanees/noun	been/noun	langzaam/adj	immers/adv	word/verb	miniem/adj	mag/verb	inmiddels/adv	hamer/noun	dan/adv	kersvers/adj	bestuur_kamer/noun	hoofd/noun	omhoog/adv	ogenblik/noun	regering/noun	kerst_pakket/noun	enkel/adv	honderd/adj	hoog/adj	weg/noun	poot/noun	mogelijkheid/noun	gouden/adj	gebruik/noun	accijns/noun	loon_belasting/noun	ingevoerd/adj	teatraal/adj	nergens/adv	hand/noun	ministerie/noun	ook/adv	sanctie/noun	vermaan/adj	vlees/noun	product/noun	tegelijk/adj	handpalm/noun	belasting/noun	staal/noun	nieuw/adj	vriendschap/noun	premie/noun	smaak/noun	frank/noun	ga/verb	echter/adv	stad/noun	rekening/noun	gewicht/noun	soort/noun	nu/adv	zal/verb	arm/adj	glas/noun	rekeningrijden/noun	kop_positie/noun	ontbreek/adj	meest/adj	verlaag/verb	land/noun	Europees/adj	daarna/adv	koers_winst/noun	stijg/verb	euro/noun	voortaan/adv	zenuwachtig/adj	entree/noun	extra/adj	vinger_DIM/noun	deelstaat/noun	vlucht/noun	vermogen/noun	afkomstig/adj	teelt/noun	LPF_minister/noun	hulpeloos/adj	maandag_avond/noun	omroepbijdrage/noun	vrijwel/adv	feestganger/noun	kan/verb	voorwaarde/noun	tel/noun	moet/verb	toegang/noun	boer_DIM/noun	overlast/noun	rente/noun	voorheffing/noun	bovendien/adv	heer/noun	parkeer_plaats/noun	voortreffelijk/adj	binnenlands/adj	verzekerd/adj	tarief/noun	stuk_DIM/noun	particulier/noun	ere_burger/noun	toch/adv	fiets_rek/noun	zondag_middag/noun	hal/noun	hand/adv	roerend/adj	Vlaams/adj	netjes/adj	stroom/noun	lidstaat/noun	procent/noun	onroerend_zaak_belasting/noun	verschil/adj	financieel/adj	beeld_DIM/noun	vinger/noun	te/adv	overschrijding/noun	even/adv	eerst/adj	flink/adj	lokaal/adj	pensioen_premie/noun	provincie/noun	glas_DIM/noun	gewoon/adj	her_stelling_werk/noun	waarschuw/verb	overgekomen/adj	wil/verb	dankbaar/adj	groen/adj	inkomst_belasting/noun	promotie/noun	toeslag/noun	gehuld/adj	statie_geld/noun	meen/verb	meer/adj	1930/noun	staat/noun	arm/noun	toegang_prijs/noun	schoen/noun	troon/noun	successie_recht/noun	hak/noun	hemel/noun	even/adj	invoer_recht/noun	keer/noun	landelijk/adj	overheid/noun	schouder/noun	toekomst/noun	triomfantelijk/adj	tol/noun	procent/adj	fiscus/noun	dringend/adj	alleenstaand/adj	Brits/adj	administratie/noun	aanvankelijk/adj	behaal/verb	taksen/noun	sigaret/noun	Amerikaans/adj	overweeg/verb	borst/noun	hoopvol/adj	kerosine/noun	tentoonstelling/noun	zwaar/adj	zelf/adv	gemeente/noun	eventueel/adj	toelage/noun	steenkool/noun	Londens/adj	box/noun	en/noun	grif/adj	liter/noun	prinses/noun	dwingend/adj	pub/noun	vorm/noun	sport_wereld/noun	kijk-/noun	college_geld/noun	het/adj	huize/noun	fles_DIM/noun	luistergeld/noun	taks/noun	verondersteld/adj	afkomst/noun	spaar_geld/noun
accijns/noun	0.86519	0.91814566	0.9257219	0.844065	0.4553479	0.63638484	0.93351585	0.78247154	0.78729117	0.9306545	0.77138215	0.9765223	0.9097513	0.78780293	0.6878703	0.9179483	0.6139742	0.857729	0.7868581	0.7919158	0.5057123	0.8377775	0.8803021	0.82217103	0.9725957	0.62112856	0.0	0.7308562	0.52952504	0.94995594	0.69992423	0.8967789	0.7342529	0.82264996	0.8001757	0.9663546	0.73123956	0.48682463	0.6624699	0.9068423	0.35934955	0.611107	0.64026594	0.97567683	0.64319915	0.87400544	0.56613207	0.7766026	0.8100264	0.8298464	0.7183713	0.55819345	0.8592726	0.8384495	0.6382148	0.87281716	0.87841815	0.5889174	0.9757813	0.8965786	0.84448296	0.47319692	0.7115512	0.65975904	0.8266291	0.73040795	0.58538824	0.5562623	0.6418412	0.9038332	0.9278834	0.469266	0.90698683	0.76633984	0.6053899	0.6483333	0.73756814	0.80729705	0.98082954	0.9545771	0.934345	0.7832246	0.76468927	0.95672303	0.82256114	0.62837285	0.898715	0.58804494	0.7733431	0.887638	0.7824882	0.58705294	0.65926373	0.5927327	0.97654134	0.9167005	0.87557805	0.5715073	0.8561154	0.405563	0.89812976	0.72074443	0.9455721	0.9042029	0.9596882	0.98223585	0.97607577	0.9635011	0.75540835	0.72618794	0.6808015	0.6959647	0.58525205	0.56145215	0.7111548	0.7240422	0.7029709	0.9398101	0.83171606	0.8252593	0.79346013	0.9589831	0.9484518	0.5946801	0.6346414	0.6824534	0.8112064	0.8804408	0.84389687	0.9231241	0.752473	0.98621356	0.668589	0.95074886	0.8849481	0.57728505	0.7427934	0.69464886	0.9684871	0.74954337	0.8497497	0.63297457	0.9791175	0.6798315	0.9426018	0.7301401	0.9322435	0.95799863	0.6380058	0.8918548	0.8666149	0.90089715	0.36267185	0.8237544	0.7196461	0.5687015	0.93726104	0.87855554	0.8842869	0.51259834	0.6856985	0.69027835	0.858522	0.8664854	0.85135293	0.6808437	0.8078313	0.8494016	0.37199992	0.45618826	0.7200682	0.6987127	0.91438854	0.9627174	0.5526875	0.986424	0.62760794	0.8703785	0.74832463	0.685214	0.7353135	0.6761811	0.94137645	0.77555645	0.88275623	0.901417	0.45005268	0.96050423	0.83475745	0.9375631	0.64220023	0.9689982	0.8015322	0.6834166	0.97608393	0.9842084	0.8421569	0.76974064	0.5549797	0.91878307	0.97010523	0.72360265
loon_belasting/noun	0.97256947	0.90760237	0.93665224	0.90614015	0.6299232	0.69333327	0.92651254	0.7098219	0.821859	0.96953857	0.7823187	0.9834388	0.9403963	0.94054145	0.62839675	0.952735	0.899698	0.6515965	0.830838	0.80604154	0.5935688	0.90889484	0.92367405	0.8346737	0.84789026	0.9300237	0.7308562	0.0	0.7878388	0.9454109	0.8903859	0.95725644	0.8274787	0.7899106	0.92670286	0.955472	0.9242383	0.8398966	0.72821546	0.95231587	0.43504608	0.95441574	0.87864035	0.9953722	0.40599823	0.9401192	0.77319133	0.6829864	0.86260074	0.925684	0.44674128	0.8431692	0.93452954	0.78802025	0.6526443	0.8549318	0.94694626	0.91930366	0.906797	0.8978345	0.8328208	0.5081326	0.91702884	0.8306416	0.8634267	0.55984426	0.46487164	0.62899226	0.536018	0.9167586	0.8809616	0.63955057	0.93882585	0.92520255	0.89981425	0.64069283	0.846606	0.87744534	0.9733086	0.93676335	0.91825646	0.74596226	0.84497607	0.9586266	0.76637876	0.7575971	0.88915145	0.5996908	0.9368792	0.92238617	0.9193661	0.4718498	0.55434513	0.5921649	0.98922414	0.9131233	0.946683	0.83460426	0.673277	0.5076555	0.9340957	0.54462075	0.95033795	0.8226092	0.95066404	0.93761855	0.9855181	0.9563283	0.5799006	0.8330402	0.75206816	0.8616726	0.8669976	0.5012647	0.53036356	0.9145584	0.7583885	0.9663511	0.9344202	0.81187975	0.7918497	0.8323415	0.8425621	0.60524726	0.75839597	0.571633	0.8977402	0.93128765	0.7338809	0.9532993	0.9047969	0.9891157	0.73374504	0.97403735	0.95867896	0.5017398	0.80889213	0.50830835	0.9838141	0.9225142	0.8538646	0.8945833	0.91218555	0.81707036	0.9062219	0.8053761	0.9827167	0.9886035	0.56746787	0.9295738	0.9517702	0.93842727	0.7229091	0.80004644	0.902331	0.7217188	0.95476294	0.8558471	0.9508206	0.9418335	0.5186688	0.5795709	0.8905315	0.6104659	0.9259639	0.7018086	0.86352354	0.8104346	0.8163403	0.91982406	0.85149497	0.83793485	0.9483291	0.97378486	0.8899147	0.94258225	0.918931	0.78509283	0.7117449	0.63449633	0.74641263	0.87698925	0.9949828	0.5879438	0.9387747	0.9178047	0.8722382	0.9899244	0.93295497	0.9709641	0.7471385	0.98321676	0.83608127	0.80637664	0.7918179	0.9864339	0.8779156	0.77000546	0.7729438	0.8629421	0.98877066	0.5502094
ingevoerd/adj	0.8303489	0.92276645	0.9491129	0.9430141	0.703078	0.6654007	0.8731433	0.81002694	0.92498785	0.9210003	0.88623244	0.9847655	0.96725315	0.9425174	0.7425004	0.8902548	0.7068068	0.9021973	0.75155395	0.62124354	0.622071	0.86932355	0.89119476	0.7482327	0.9348729	0.64196515	0.52952504	0.7878388	0.0	0.9326987	0.7902251	0.8648052	0.77487105	0.89361644	0.8678828	0.9860541	0.6383526	0.5689839	0.7597212	0.9290809	0.53445345	0.7172358	0.5850952	0.9748109	0.73135614	0.7888524	0.68828636	0.8589047	0.77572936	0.848086	0.72334707	0.6991528	0.7241715	0.74224496	0.717878	0.9132369	0.7818782	0.81375015	0.98164153	0.89430964	0.86926186	0.6050228	0.7542858	0.75250554	0.90007967	0.77699316	0.6844229	0.68804383	0.55427825	0.9272349	0.8727692	0.57525885	0.97678924	0.8563199	0.7126951	0.70453835	0.7146562	0.776513	0.98053485	0.9719002	0.9749241	0.75085485	0.74031925	0.9654411	0.80190134	0.6960006	0.8953128	0.7420217	0.860582	0.8709064	0.78553295	0.79714143	0.73480844	0.6483692	0.96654856	0.93695056	0.8191177	0.55904233	0.8070744	0.58846563	0.85993195	0.6170317	0.955415	0.945622	0.933287	0.987468	0.93712866	0.9906644	0.84958017	0.894684	0.7610139	0.78826	0.69582826	0.6799998	0.7744585	0.76145184	0.7559371	0.93568987	0.9402081	0.86464006	0.74794304	0.96781164	0.8990135	0.74400264	0.6910789	0.8077905	0.78284395	0.9041014	0.74115884	0.9799491	0.74795616	0.99685806	0.81636643	0.9407517	0.84318244	0.6502553	0.7177625	0.7295238	0.89822286	0.84319395	0.82162297	0.7355675	0.9813759	0.714056	0.97910935	0.9327973	0.87921774	0.96870816	0.7665171	0.9411101	0.96766275	0.9675595	0.50045156	0.9638368	0.6604279	0.62125385	0.98803574	0.78755933	0.93214446	0.78357375	0.558607	0.6980263	0.9160311	0.80978453	0.8138325	0.7587309	0.8518738	0.83997786	0.6454921	0.5255584	0.84500635	0.64452744	0.93473256	0.91568154	0.66947186	0.94687366	0.7941355	0.87322813	0.61073184	0.73552215	0.8694351	0.64498734	0.93972594	0.7584517	0.82163423	0.94022787	0.6972891	0.9894002	0.89182556	0.9379351	0.75764513	0.96300244	0.7433578	0.89183223	0.96620107	0.94722694	0.8708977	0.70204556	0.60724795	0.88902766	0.9652722	0.7423717
teatraal/adj	0.9304482	0.85499847	0.7103423	0.57085526	0.8815433	0.8860396	0.8494599	0.94975024	0.9096401	0.8800863	0.93902504	0.9595619	0.9241928	0.7767074	0.8096878	0.8280071	0.9817675	0.8495096	0.83869517	0.99011487	0.873851	0.8721437	0.81314903	0.8190851	0.8150653	0.8605387	0.94995594	0.9454109	0.9326987	0.0	0.84291565	0.7472466	0.9726287	0.8254974	0.94129705	0.90036815	0.9114621	0.91399693	0.68149424	0.7614262	0.9084593	0.7791097	0.8115814	0.86661613	0.9264484	0.8648352	0.94094217	0.86208117	0.85459423	0.89892244	0.8935971	0.8217913	0.7282627	0.9443242	0.9558249	0.7265118	0.7776136	0.8838933	0.88697636	0.82807153	0.79588187	0.9371977	0.835515	0.90187436	0.90970993	0.9030118	0.87358266	0.93111616	0.8696054	0.8435796	0.6506573	0.92116904	0.8597309	0.9269084	0.9883887	0.85408646	0.8123447	0.8606182	0.94187075	0.6180755	0.69700706	0.9720422	0.79158723	0.7948433	0.895915	0.8983071	0.7073357	0.90790534	0.80944246	0.8945676	0.86757815	0.940488	0.8740423	0.8724796	0.8131577	0.80866826	0.84998465	0.91566104	0.8993743	0.8795671	0.8786777	0.8234913	0.8811931	0.90222013	0.82672155	0.73710823	0.6272631	0.9191487	0.83612895	0.98855704	0.88555425	0.83190835	0.8478939	0.9159062	0.9227025	0.76152194	0.89587927	0.7633359	0.82153165	0.7921034	0.93225634	0.6669921	0.96613896	0.88158804	0.9442294	0.9037057	0.9482027	0.9229939	0.9003161	0.9377775	0.88093704	0.95142263	0.91578275	0.79372954	0.80343354	0.91383725	0.9263668	0.8810013	0.68163526	0.90965754	0.9457281	0.83566654	0.7381848	0.9199895	0.6738906	0.9143835	0.8986819	0.8715443	0.9038403	0.8738755	0.6339391	0.82232314	0.93145996	0.9254592	0.95267564	0.905022	0.8163065	0.9444961	0.70942414	0.8986686	0.90905935	0.91846454	0.88766694	0.93899035	0.9458105	0.98013794	0.8216308	0.96031564	0.92059726	0.9036633	0.9709323	0.90087473	0.7217486	0.74112284	0.89773667	0.59047604	0.87814367	0.92001814	0.923615	0.91693205	0.9553455	0.8334905	0.74452573	0.9578182	0.9816236	0.7279322	0.90184826	0.9417345	0.6113974	0.8079887	0.7345089	0.917293	0.99421686	0.90475774	0.9731699	0.8626053	0.9046554	0.984951	0.92179006	0.8967377	0.8640767	0.83011854
nergens/adv	0.8292045	0.9031816	0.88530993	0.80751234	0.71158046	0.6115961	0.92138004	0.7568554	0.7063268	0.98672146	0.8057636	0.77875334	0.91158617	0.9133234	0.8028766	0.8571635	0.8372895	0.97477275	0.84191465	0.90240234	0.84136325	0.8095287	0.87051016	0.88130635	0.8194752	0.82293946	0.69992423	0.8903859	0.7902251	0.84291565	0.0	0.8726324	0.8709845	0.7825514	0.9266606	0.7289192	0.850136	0.81819934	0.73682857	0.824585	0.81910515	0.8168793	0.8097246	0.9434681	0.84476733	0.9138928	0.840091	0.83643675	0.7156133	0.7140125	0.90508264	0.90738946	0.84608734	0.6919491	0.82030845	0.9067958	0.87054604	0.7409257	0.90628034	0.6931741	0.87358963	0.8021914	0.82780194	0.85237986	0.8588462	0.87506944	0.88137144	0.86956966	0.7322935	0.9269006	0.8784422	0.82516086	0.7594191	0.82954574	0.96153474	0.8571613	0.81201005	0.95809484	0.976767	0.96714693	0.87954146	0.8657473	0.63516384	0.9108759	0.79001963	0.680653	0.86536807	0.7797602	0.8922624	0.85844874	0.94494724	0.88360906	0.8812272	0.6983638	0.82233816	0.7366861	0.86350703	0.89993924	0.7933418	0.8083426	0.8091303	0.8091463	0.8307311	0.82818675	0.86592066	0.8726888	0.8857678	0.9871387	0.8192456	0.9183983	0.7391169	0.8194186	0.7658305	0.87810826	0.8814041	0.92823535	0.8498634	0.9264178	0.9197574	0.84873104	0.96790105	0.8026672	0.92550874	0.8481771	0.91047066	0.96510535	0.9010519	0.9347228	0.7828493	0.96274483	0.8177718	0.948874	0.7922925	0.9368328	0.7654607	0.8247886	0.878997	0.87913454	0.9209288	0.8375606	0.87050116	0.746904	0.86103344	0.8294251	0.91137403	0.9773992	0.88075876	0.91743124	0.83285135	0.9613063	0.8033795	0.8458649	0.8142867	0.9329508	0.8851216	0.7479349	0.96605426	0.91343445	0.91380644	0.80637693	0.80890954	0.8426452	0.8667023	0.8614693	0.9766053	0.76390904	0.9122298	0.9588779	0.80417347	0.7615204	0.977284	0.8039833	0.8697631	0.8839716	0.7894833	0.8601587	0.8739571	0.8866389	0.81189805	0.86192095	0.9174417	0.7116339	0.87181556	0.83620024	0.9180232	0.9238984	0.8430455	0.9815379	0.83302426	0.9002052	0.695132	0.79843163	0.9291906	0.91522	0.9719251	0.86834824	0.8507638	0.92789465	0.7843606	0.9233336	0.860624	0.8344604
hand/noun	0.61665094	0.91161066	0.47547835	0.73082525	0.90690684	0.9060715	0.91862905	0.79705775	0.7756585	0.56404626	0.8552691	0.88186926	0.75997275	0.40486866	0.6334859	0.9424378	0.94761246	0.892478	0.7842057	0.897923	0.91179353	0.7896459	0.7842553	0.83246934	0.70127106	0.8280308	0.8967789	0.95725644	0.8648052	0.7472466	0.8726324	0.0	0.939989	0.8371834	0.9767829	0.71981907	0.7987106	0.91204953	0.76635635	0.4381718	0.870663	0.78150785	0.9878367	0.9467681	0.9209925	0.7925459	0.917055	0.7017906	0.88454306	0.9798275	0.92070365	0.7691676	0.87827003	0.8602034	0.9496021	0.6267376	0.5108949	0.95154184	0.8948733	0.8615112	0.89684093	0.97376454	0.9640446	0.909703	0.6117332	0.9163122	0.9125443	0.8944333	0.86038816	0.6639123	0.7587005	0.91228104	0.7128844	0.9107914	0.9024428	0.92103815	0.7343204	0.8318424	0.99296236	0.5863246	0.74510044	0.96649504	0.8754443	0.66115016	0.8274364	0.9011878	0.8766327	0.8883639	0.91192603	0.8863124	0.94862145	0.9147085	0.9395542	0.8948857	0.88362616	0.9726775	0.88615215	0.91788375	0.90152484	0.92833716	0.69626224	0.86510813	0.95172447	0.89440554	0.9742859	0.7127469	0.87918556	0.8284527	0.9320735	0.94913465	0.7502284	0.81078666	0.9093332	0.932733	0.90420514	0.889281	0.92991775	0.72289467	0.49907845	0.7688021	0.9439954	0.69716704	0.92711514	0.73892385	0.8719433	0.9189538	0.924322	0.61459523	0.7463283	0.98166764	0.8493223	0.96567816	0.8988617	0.7982082	0.71832466	0.928936	0.95302993	0.9763101	0.7366958	0.7538064	0.87677026	0.91360915	0.88506514	0.8725506	0.36709374	0.87537575	0.79771745	0.84172755	0.97085714	0.7984182	0.5302446	0.52177036	0.9511013	0.9164843	0.8950501	0.82926905	0.43583632	0.915154	0.4938314	0.925845	0.85634804	0.906702	0.8555007	0.96905106	0.9302841	0.9456906	0.84517956	0.9182141	0.9198897	0.552807	0.9016898	0.8858252	0.39651513	0.8346074	0.8962417	0.9035009	0.83646214	0.79165083	0.91015244	0.94648045	0.93168384	0.96984774	0.89540255	0.9642599	0.94334996	0.8073754	0.8247447	0.9057253	0.8535707	0.83685815	0.8191676	0.862506	0.9512822	0.89248425	0.97761214	0.97587526	0.5667469	0.9529066	0.8799583	0.8358871	0.8809142	0.92901707
ministerie/noun	0.9689627	0.92055964	0.9930374	0.9778121	0.7359202	0.7866359	0.8290348	0.8686209	0.8443617	0.992835	0.8568641	0.9418936	0.94733775	0.84839135	0.8937027	0.8707512	0.47533786	0.8292713	0.8502887	0.86910343	0.789369	0.8689216	0.7829753	0.82618177	0.9806608	0.8014996	0.7342529	0.8274787	0.77487105	0.9726287	0.8709845	0.939989	0.0	0.825174	0.73418355	0.9510285	0.8207016	0.6792235	0.7886615	0.9443441	0.7327149	0.8423867	0.8998633	0.9965896	0.7449584	0.9785517	0.8473547	0.9148787	0.7314929	0.7226548	0.7868064	0.88165075	0.9427271	0.8717549	0.7976965	0.89097464	0.99017686	0.6933863	0.9349942	0.891568	0.9101642	0.76620144	0.86173487	0.7733539	0.9310441	0.8860207	0.7872331	0.8186677	0.7151862	0.97391707	0.9340426	0.74053067	0.898909	0.6803107	0.67901874	0.9251289	0.80022246	0.83950454	0.9649352	0.95295835	0.9388821	0.78577465	0.8242983	0.929765	0.893945	0.8221754	0.97358793	0.83088386	0.92519516	0.9319518	0.9001557	0.81356126	0.8163634	0.6996418	0.9626204	0.95553887	0.95595545	0.72569644	0.88836366	0.708966	0.9296256	0.7854398	0.9347172	0.8612868	0.9230942	0.962784	0.9418875	0.9891303	0.9116648	0.69864655	0.8993517	0.9216744	0.79114854	0.764605	0.8445489	0.83834386	0.7295898	0.9758982	0.881905	0.86386746	0.8637105	0.8870361	0.90356827	0.8349692	0.812138	0.8615922	0.587144	0.9883177	0.88148767	0.94497776	0.6743108	0.9499294	0.80590963	0.9966867	0.8773211	0.83761954	0.8522968	0.85265255	0.93601847	0.92934024	0.7911656	0.90955466	0.84536934	0.5335414	0.9669885	0.95075434	0.9838926	0.7820721	0.8504023	0.96183944	0.9395187	0.8629863	0.7604611	0.85059035	0.82703984	0.5302745	0.9617492	0.9117612	0.9589017	0.8263731	0.7451925	0.7710741	0.8929268	0.9039711	0.6520935	0.58484894	0.8635595	0.9475455	0.77308655	0.89025354	0.6858922	0.70899844	0.9836634	0.91349083	0.7516069	0.94088125	0.89235824	0.763793	0.65097076	0.74212205	0.74861395	0.88211477	0.8711161	0.8929601	0.9656081	0.97126037	0.8173547	0.9113205	0.9470638	0.8820244	0.8583525	0.7197237	0.9364846	0.84564877	0.9394341	0.96669257	0.9100839	0.9105412	0.84403634	0.92945135	0.7625909	0.88471276
ook/adv	0.85662043	0.95305055	0.9378667	0.8800794	0.6956105	0.59162366	0.93618035	0.57018054	0.68518865	0.96549845	0.6114824	0.8856677	0.84834015	0.94875896	0.87084293	0.83992493	0.82776946	0.82445407	0.67329013	0.9370566	0.8407167	0.8753755	0.8668855	0.5915872	0.8894988	0.7438601	0.82264996	0.7899106	0.89361644	0.8254974	0.7825514	0.8371834	0.825174	0.0	0.6924775	0.8761818	0.86297894	0.8183974	0.80419165	0.9548193	0.7787113	0.8837754	0.76045835	0.9365808	0.79552954	0.8775471	0.8658514	0.710817	0.68580264	0.7806578	0.6895672	0.9290233	0.7938055	0.62840676	0.47781754	0.92137367	0.9065479	0.7661262	0.90371215	0.90161526	0.8273457	0.8011904	0.8813144	0.86596	0.7950456	0.8644256	0.8313239	0.85994697	0.65712106	0.855892	0.858641	0.74200183	0.84658945	0.9079338	0.9119632	0.81515443	0.82130784	0.88922554	0.9200348	0.94935006	0.92785746	0.83142126	0.8536106	0.8858235	0.49070692	0.6972817	0.7932737	0.5365079	0.803981	0.9356311	0.86611617	0.8276983	0.82211745	0.64817977	0.90353584	0.77369463	0.90009755	0.90265083	0.715616	0.7809485	0.90798223	0.74326706	0.8920828	0.50439787	0.7670397	0.89575016	0.926648	0.9476313	0.8374108	0.8492487	0.8751236	0.8074866	0.7531064	0.8863573	0.78552395	0.7953744	0.70194155	0.90563786	0.89475363	0.8404194	0.83957624	0.87809384	0.9467048	0.78427106	0.80058146	0.7887323	0.8591813	0.8569761	0.6912572	0.8752894	0.76800716	0.88589203	0.5905601	0.780807	0.8726357	0.812014	0.78223413	0.81435347	0.934267	0.8188635	0.77997404	0.6736114	0.9273932	0.8242272	0.93995196	0.9510829	0.89104533	0.90431875	0.8413585	0.8990699	0.88157344	0.6424023	0.8719387	0.87143135	0.8942603	0.6800674	0.9628928	0.6883888	0.96509033	0.81904346	0.84662265	0.7501819	0.7716378	0.8869421	0.89956635	0.8540247	0.7473081	0.9580885	0.82710063	0.88915735	0.8848909	0.6779865	0.9476127	0.7555207	0.86451375	0.862477	0.8723241	0.5569718	0.6967354	0.70303786	0.7950871	0.9260329	0.8931888	0.93399215	0.9071104	0.8896334	0.9157711	0.9139804	0.8171766	0.8620357	0.7947234	0.8915103	0.89892656	0.78491545	0.9357163	0.9381006	0.8477415	0.88858813	0.76122487	0.8673888	0.90168285	0.8166833
sanctie/noun	0.9694669	0.95091176	0.9505133	0.94122475	0.7894236	0.7249776	0.83479017	0.81706715	0.8815621	0.90192175	0.8168075	0.95564574	0.8195466	0.9618149	0.98659945	0.8197131	0.6737329	0.9136949	0.8598281	0.90143764	0.879225	0.921258	0.9027762	0.5345596	0.99641466	0.8256515	0.8001757	0.92670286	0.8678828	0.94129705	0.9266606	0.9767829	0.73418355	0.6924775	0.0	0.9490226	0.84236383	0.80212826	0.8800294	0.9854136	0.8422916	0.84468526	0.5623131	0.97553724	0.8700275	0.9467476	0.9575264	0.9607865	0.70097274	0.8118968	0.72489357	0.8523053	0.90340257	0.74262166	0.59682846	0.88226414	0.980927	0.8215556	0.93267834	0.9321946	0.80418223	0.9093911	0.7326379	0.54766154	0.8493854	0.8904581	0.95854676	0.9599036	0.8152194	0.97423357	0.8877828	0.738214	0.9360598	0.7496362	0.8863394	0.9581703	0.88852185	0.85833764	0.9866324	0.9831806	0.93133384	0.83504003	0.8670707	0.93260705	0.69221616	0.6396839	0.92631006	0.75443417	0.8224101	0.9736135	0.7655743	0.8820106	0.9154523	0.68654245	0.9858289	0.789646	0.9118839	0.79400826	0.8662271	0.8564342	0.98344177	0.85936654	0.94698524	0.8482784	0.65099627	0.9542824	0.9876149	0.9845085	0.90366095	0.8517146	0.96971875	0.95001894	0.58566326	0.9660453	0.9363246	0.76680386	0.56124866	0.9767889	0.94346863	0.8240957	0.6828115	0.96940905	0.9894172	0.93815607	0.8836113	0.86023945	0.86223924	0.95516497	0.9149243	0.89656276	0.6301174	0.98816156	0.78623503	0.9430554	0.967656	0.92424655	0.7901431	0.8900944	0.9523356	0.87548685	0.7765568	0.87296206	0.96824616	0.8121955	0.9985777	0.95931834	0.8718635	0.9385869	0.9156683	0.9778981	0.9989143	0.8438285	0.82035816	0.95167136	0.91319513	0.7742529	0.93655455	0.73723745	0.9835556	0.72797346	0.9180644	0.9282589	0.8503363	0.9632552	0.7882308	0.8479204	0.8083524	0.96325165	0.75439936	0.9283453	0.71944654	0.64669275	0.96681684	0.9664131	0.8779562	0.99745077	0.6904619	0.71168244	0.77399206	0.57193	0.8650349	0.9406017	0.907506	0.94580483	0.97453845	0.97493595	0.96575016	0.99488187	0.7837324	0.95660466	0.92494035	0.8593895	0.96978855	0.7229829	0.9833006	0.9893784	0.9849504	0.9639955	0.76525456	0.9426435	0.94224393	0.83867764
vermaan/adj	0.9798884	0.9482297	0.6508205	0.8669133	0.95932907	0.9413432	0.9249337	0.80212784	0.82176596	0.8302597	0.84919786	0.9919046	0.9526842	0.8300462	0.6336007	0.92275673	0.8907694	0.9237317	0.9387773	0.97037065	0.9456373	0.9523299	0.7929785	0.95623606	0.74884754	0.9695276	0.9663546	0.955472	0.9860541	0.90036815	0.7289192	0.71981907	0.9510285	0.8761818	0.9490226	0.0	0.90031093	0.97354966	0.8712557	0.39563513	0.96438164	0.94874316	0.9518021	0.98907936	0.971989	0.9755172	0.9801798	0.82048875	0.941188	0.9530599	0.9500577	0.9027928	0.9467873	0.72523856	0.89984566	0.8861552	0.91506106	0.95706886	0.9505974	0.63256025	0.9449364	0.97538275	0.8904813	0.95646054	0.90274715	0.9884011	0.9822934	0.98968184	0.90948904	0.8503687	0.98421216	0.9604363	0.6744827	0.9091476	0.9814293	0.9815082	0.95021826	0.9251645	0.9743121	0.8181472	0.9696994	0.95541966	0.9682434	0.971357	0.8071782	0.9321122	0.8841925	0.85750425	0.9315723	0.89671135	0.9689538	0.9769171	0.9737779	0.9649383	0.77285963	0.96113384	0.94379616	0.96741533	0.96788746	0.98180246	0.8577678	0.95618534	0.9511497	0.83911633	0.9931331	0.97081757	0.9656089	0.8945685	0.9610533	0.94073755	0.7771245	0.9824101	0.80885744	0.99431795	0.9743706	0.9076434	0.9241603	0.9320958	0.77340007	0.8764917	0.9163349	0.89765507	0.99601865	0.8604847	0.9160839	0.94920063	0.9122116	0.911719	0.9109745	0.9425677	0.7592639	0.9658343	0.7890159	0.93825126	0.5929289	0.96263146	0.9607758	0.9676843	0.87093246	0.9661354	0.93034697	0.9329529	0.90503484	0.9341955	0.73127794	0.98695105	0.9659664	0.8893479	0.9663403	0.95528984	0.63965034	0.8060121	0.9713799	0.9515043	0.9370306	0.8299765	0.77334875	0.97872305	0.8064182	0.9777836	0.9742509	0.9464698	0.9167538	0.93754977	0.931707	0.91169864	0.9581154	0.9922285	0.9523267	0.87001616	0.89660025	0.9055106	0.56194186	0.90798247	0.9156172	0.8458036	0.93343115	0.91111666	0.93309367	0.93588614	0.93141097	0.9590498	0.9536658	0.9777017	0.94764066	0.9812497	0.9694197	0.9901366	0.8612784	0.9510117	0.99446374	0.5436981	0.9752405	0.95186025	0.9917817	0.9625663	0.9688026	0.9693567	0.9550112	0.96535	0.9421908	0.96647465
